model,N,K,soft_output,hard_output,label,correct,morans_I_lambda_1,morans_I_lambda_2,morans_I_lambda_3,morans_I_lambda_4,morans_I_lambda_5,morans_I_lambda_6,morans_I_lambda_7,morans_I_lambda_8,morans_I_lambda_9,morans_I_lambda_10
ViTscratch,480,65,0.9969656,1,1.0,True,0.004293567727052306,0.0027002949493630853,0.0024634034641050863,0.0021256356292512083,0.002629330052557749,0.003153200033101504,0.0037116738287302727,0.003637264748792113,0.0034680160434607745,0.003574522983775798
ViTscratch,480,65,0.9963965,1,1.0,True,0.002325114566752832,0.002884859984384293,0.0025683737929115516,0.0014621110142778308,0.0012465137306071163,0.0022017903147751486,0.0023522530969467214,0.0023170146785087345,0.002087398523828503,0.0021452781603631347
ViTscratch,480,65,0.21785638,0,1.0,False,0.0012541167349483613,0.001864090220749895,0.0014592085011241522,0.001261966197476058,0.00024230769037286246,0.0009895556834606258,0.000571852867825303,0.0005133891220729873,0.0007398410081537394,0.000748644492446303
ViTscratch,480,65,0.010666953,0,1.0,False,0.0001863138469559247,0.0015715097994114429,0.0014310469015283813,0.0008533690776490236,0.0007509620313998672,0.0006333083701348391,0.0006141926121961875,0.0008946791457858862,0.0007461042215300108,0.0009950611698816463
ViTscratch,480,65,0.77240604,1,1.0,True,0.002059808945117229,0.0015960152822599837,0.00041367611239719634,0.0009471226912209515,0.0008088001815763437,0.0012195109927700923,0.0017152313942218333,0.00176733280866779,0.0017128349920132724,0.0017740148417888977
ViTscratch,480,65,0.4983905,0,1.0,False,0.004719810835926992,0.002944214988783159,0.00045882029871605474,0.001336316599488882,0.0007708452108095851,0.0008582619022132846,0.0009848594399849751,0.0012598595595433623,0.0011869219125855881,0.0019655908654447433
ViTscratch,480,65,0.6576996,1,1.0,True,0.001832534747723591,0.0006807612381968686,0.0018307108643964953,0.002641361773499406,0.0023874273273744263,0.002791298203749618,0.002532302810897828,0.0025310475913147574,0.0022295119182524498,0.0022288460750043075
ViTscratch,480,65,0.9535174,1,1.0,True,0.005136761048091496,0.004763267890618965,0.0052664458919757,0.003523061874618702,0.0028064622582855557,0.0026770203088191404,0.0025402164582174593,0.002285742661543328,0.0023345739940620566,0.0022609290193836584
ViTscratch,480,65,0.28310913,0,1.0,False,0.002302031794650004,0.0005325279491340954,0.00040104956178070074,0.0005207115696685963,0.0011084080105917694,0.0009477927467147935,0.0010569896039447297,0.0011787544906286232,0.0013403357797715288,0.0015728971815950849
ViTscratch,480,65,0.97597706,1,1.0,True,0.005428668908974221,0.0033924531536760547,0.003408987479020347,0.003074420303420143,0.0032396065933530203,0.0032985869949356686,0.003916932193107884,0.0037823265795386544,0.0035447483869213516,0.003146823334287322
ViTscratch,480,65,0.6548334,1,1.0,True,0.005584533052292227,0.0024207268089559385,0.002263434416442025,0.0025457491964903244,0.0025663126526909697,0.002152479050395754,0.0016405732790474928,0.0017020694233654688,0.002091529034050519,0.0021223161063576483
ViTscratch,480,65,0.79146355,1,1.0,True,0.0043751225180589624,0.002564059489242237,0.001751725880847571,0.000699888056894882,0.001337847923426212,0.001961293898149783,0.0024506535353658867,0.0018782056711514408,0.001802809798903111,0.001818263965716415
ViTscratch,480,65,0.85994,1,1.0,True,0.0026419354849477007,0.000816397379076933,0.001476677373295302,0.0013241639080036967,0.0020995707211663383,0.0014915364420069752,0.0013029688940090457,0.00113055971984562,0.001177801192191646,0.001100933466261875
ViTscratch,480,65,0.89673775,1,1.0,True,0.005034117856171429,0.006254176799756685,0.005646335100950784,0.004679513285114379,0.003951721775453274,0.004014854658860578,0.003462308771135536,0.003228674013533064,0.0027910247030299164,0.0031511639938416646
ViTscratch,480,65,0.032694776,0,1.0,False,0.0011738911339512683,0.0009792189681926918,0.001228596142125744,0.00044017059463238704,0.0010546406965213407,0.0015908629520832182,0.0017500723706239656,0.0014254918641935562,0.0014301641616333207,0.0015018470587819313
ViTscratch,480,65,0.30585316,0,1.0,False,2.1396965008401208e-05,0.0019855023519657587,0.002857609457530131,0.002898867855142281,0.0023272220144007977,0.0021370437948803724,0.0021241293150931714,0.0020876313518319394,0.0019057931761620492,0.0019431230687427046
ViTscratch,480,65,0.2734852,0,1.0,False,0.001469525707896743,0.0016365151078350335,0.001553969930482465,0.0011338905211773212,0.0016732097524460184,0.0007981995024672931,0.0009711817898521895,0.001072979661711681,0.0014401016666846032,0.0014352758690896958
