model,N,K,soft_output,hard_output,label,correct,morans_I_lambda_1,morans_I_lambda_2,morans_I_lambda_3,morans_I_lambda_4,morans_I_lambda_5,morans_I_lambda_6,morans_I_lambda_7,morans_I_lambda_8,morans_I_lambda_9,morans_I_lambda_10
MLP,150,34,0.84336215,1,1.0,True,0.010107094997518593,0.014541877110537636,0.011138517685702872,0.009986910827016781,0.011118668549407528,0.012573889147703417,0.012523950963577562,0.012943407586960397,0.012137369990569639,0.012567180220017756
MLP,150,34,0.31398854,0,1.0,False,0.01192737505363716,0.005892434376040928,0.011739360593385748,0.010843662300211636,0.010633896915310918,0.01193830769633656,0.010531103578097315,0.009996125470045898,0.01162525136192003,0.010079641189083006
MLP,150,34,0.6535991,1,1.0,True,0.009116097612004081,0.007792270051434033,0.0037932484041855864,0.0053153768998264,0.0077138209720643116,0.008695346055643656,0.00977594681474975,0.009008609553840951,0.010755348879339282,0.01069315359058265
MLP,150,34,0.48638916,0,1.0,False,0.010239052807020603,0.0056104286196096195,0.009506367757528233,0.011395968955523934,0.014292120548087432,0.014654883820541545,0.014721671396101133,0.012298870578503403,0.011834091228464882,0.011695641327811859
MLP,150,34,0.32402617,0,1.0,False,0.007747670065555896,0.00387328737425925,0.008165425337964511,0.0071533134220591885,0.009529226086496928,0.010999183642209202,0.010500455938912287,0.011005938513722679,0.011569733365469573,0.010869766370899264
MLP,150,34,0.20207854,0,1.0,False,0.009034028317256786,0.0001297702087442955,-0.0012661999982368968,-0.0005928223085914442,0.002733727089041251,0.0046663686846186575,0.005017075126812769,0.005698318001205438,0.004999820309113744,0.005916987142869492
MLP,150,34,0.87860835,1,1.0,True,0.013918071410491428,0.008261118190471456,0.013861697713462276,0.012394767784596947,0.012435260483032192,0.008880559682020962,0.009362153025879637,0.008703905663410881,0.008848831936194622,0.008739788416258864
MLP,150,34,0.110051006,0,1.0,False,0.008797664517104902,0.010116867553539508,0.00834605696894611,0.010351942032910543,0.008887670522913492,0.007308369254721855,0.007507013604147354,0.0086113464389939,0.0077493053424124905,0.006886953256576222
MLP,150,34,0.31596392,0,1.0,False,0.0038650885809520643,0.010431677047635842,0.009328907786354342,0.01028057928845895,0.009674146944917748,0.0107967832756701,0.010112408214885765,0.008722701913873171,0.008530584729389439,0.008159716418835797
MLP,150,34,0.6657293,1,1.0,True,0.005126361876978046,0.005771610891330647,0.007318417069091463,0.009150920211764937,0.009510445923221148,0.009229678414123473,0.008986682452985718,0.008480793259548727,0.009052089038356442,0.010432927508115687
MLP,150,34,0.33702144,0,1.0,False,0.006294896331179756,0.013052893257655452,0.012170315243953594,0.011406434095768631,0.009635767163448878,0.009021169148558073,0.009525082085997885,0.009021052461252137,0.0083873752071336,0.00892588169169315
MLP,150,34,0.762121,1,1.0,True,0.003207147974475395,0.009774819337542229,0.014943927819030716,0.011787468252907182,0.010894769441303086,0.010610151702141687,0.009450222810556852,0.010518193580685026,0.009717463286603691,0.009670579016042303
MLP,150,34,0.61881334,1,1.0,True,0.003310707002351608,0.0006283305146535838,0.005495355676373612,0.008270960359278533,0.01117428595787841,0.010951562515408268,0.011702333306130332,0.010137165247427202,0.010604935934115904,0.010306302886070621
MLP,150,34,0.8217808,1,1.0,True,-0.0011258587105100624,0.004024126156139654,0.004502809505857626,0.004914542010834769,0.004390451716788209,0.0063656760259007735,0.0057062684839977625,0.0078041695923381695,0.007326755929414391,0.008644456058221972
MLP,150,34,0.467364,0,1.0,False,0.00674543963026,0.007346917163328662,0.006398882630703101,0.007514580603469935,0.009616048970120833,0.00967254317868325,0.010321674675102867,0.008942432174053414,0.0075128538265372,0.0075469670955178305
MLP,150,34,0.28792185,0,1.0,False,0.021297000103914086,0.014365227125939314,0.014473769891165899,0.015592464863013977,0.01452995360306052,0.01296873177560007,0.0127327742568668,0.01286334810447963,0.012587245138883544,0.012484228984803804
MLP,150,34,0.14471696,0,1.0,False,0.021408558198814175,0.016239645363009095,0.00944672492182968,0.005224095991298651,0.006638228585993872,0.00687092989052919,0.008341268570220065,0.007418706170305149,0.006168884761447471,0.006302735208022475
MLP,150,34,0.582798,1,1.0,True,0.012343460192608671,0.012791277420736944,0.009308386363459027,0.01240658278352295,0.01364154598999542,0.013363454612445924,0.0127331769741754,0.012428720839343616,0.010892085340350691,0.011608850511488413
MLP,150,34,0.19331393,0,1.0,False,0.027153066172906512,0.0168728373137645,0.014574497449118215,0.013354421547565686,0.010947589361798859,0.010541188127204159,0.010143205368578389,0.008740333956722104,0.008119419956194536,0.008684738653816249
MLP,150,34,0.3426742,0,1.0,False,0.008884216210166353,0.0031580267067687013,-0.0016990541046212582,0.0038674168498491917,0.007013195051055075,0.00676276428774027,0.006566250934129957,0.004086037971576455,0.004369725287877292,0.0052855895916690794
MLP,150,34,0.6918108,1,1.0,True,0.00893955674772627,0.015477059061638137,0.013081758730488726,0.010262077549137456,0.010186081033403118,0.00938076158946701,0.007282757248692723,0.008097242539526,0.008633153548033538,0.006737655931729286
MLP,150,34,0.38383773,0,1.0,False,0.005498938890584191,0.009074912770891874,0.007930336553441603,0.008699250846354412,0.00944664599172286,0.011960542262040344,0.012395510314730731,0.01255960863186059,0.012646540061210474,0.012133361657261437
