model,N,K,soft_output,hard_output,label,correct,morans_I_lambda_1,morans_I_lambda_2,morans_I_lambda_3,morans_I_lambda_4,morans_I_lambda_5,morans_I_lambda_6,morans_I_lambda_7,morans_I_lambda_8,morans_I_lambda_9,morans_I_lambda_10
CNN,400,75,0.70727617,1,1.0,True,0.006212647465266557,0.004702000876366746,0.004791361383928778,0.005059303735795971,0.005749456952024171,0.005183190712168966,0.004606346325888386,0.00484260899257336,0.0047863403588660975,0.005173422719157894
CNN,400,75,0.83393705,1,1.0,True,0.005391933783496754,0.005705513627812605,0.00653514762257286,0.006196818793087706,0.006304146072073528,0.005914450308299688,0.005843213077626536,0.006313144962911744,0.006588741041902825,0.006479570027912039
CNN,400,75,0.24625643,0,1.0,False,0.0009027361557653772,0.0027535364110947203,0.0027422380117080223,0.003445858973504517,0.0037774860497498,0.003940012968972063,0.005172546804483502,0.0055068494838509275,0.005226028199722597,0.00536584709170542
CNN,400,75,0.17127922,0,1.0,False,0.001314982680467944,0.0009590844193626318,0.002662516797012783,0.0027822636954416527,0.0037927068072337888,0.0036836323141158085,0.004048724404125482,0.004368731211943247,0.004494377023400292,0.004466994214149013
CNN,400,75,0.96611995,1,1.0,True,0.008120075053658107,0.006386376892147412,0.003974001021593584,0.004870992954261351,0.005319816435323334,0.006275641208682704,0.006978553785449269,0.0065421460289720144,0.0067142409486381826,0.006567532372425006
CNN,400,75,0.30484205,0,1.0,False,0.010375590939791573,0.008362300396731302,0.006092728491360938,0.00577653289068407,0.004483472783346733,0.00403937459118752,0.004543515024774008,0.004495752862249344,0.004663726552717123,0.004770456515813227
CNN,400,75,0.97975355,1,1.0,True,0.008943895672638081,0.00719193272081815,0.007010474629489535,0.006546482163591684,0.005406745981317784,0.005506772166880844,0.0056021384752211216,0.0052710465177253025,0.005457366784311242,0.005800843737680984
CNN,400,75,0.64173615,1,1.0,True,0.0029699373619077986,0.004033848191478941,0.0033333114901216813,0.004254703692206972,0.004370254280608944,0.003827204928209757,0.004195495434783213,0.0044689997236488895,0.004703204745098517,0.00438526603093111
CNN,400,75,0.58943486,1,1.0,True,0.007254727433863983,0.005783217536900544,0.0044671317462040795,0.005168699198429976,0.00580486254395101,0.005528389201404389,0.005503821914316895,0.004482043048782824,0.004356119971075556,0.0043322992874869435
CNN,400,75,0.11081734,0,1.0,False,0.004169791563795719,0.007318580411302108,0.006634518025761023,0.0061039046255130505,0.006054733287050483,0.00603097423369581,0.0056951400626948576,0.004940206560817349,0.0048142954612604965,0.004940294837317279
CNN,400,75,0.8085505,1,1.0,True,0.0035722469200268766,0.006438439746186223,0.005689099089676712,0.0066525632761021995,0.006676887453610616,0.006042486000315641,0.005904383341787708,0.005396480033693536,0.005540824766073281,0.005645600826828691
CNN,400,75,0.24114132,0,1.0,False,0.001997427229596636,0.003838512168630283,0.002773366555652998,0.0032819175081747675,0.0037658453872591053,0.004317903056616429,0.00364144600885024,0.003672730524706741,0.0039033856199134887,0.0037648872330506367
CNN,400,75,0.29697993,0,1.0,False,0.007804123838301583,0.006646832975826076,0.005399250539058041,0.006321288132255942,0.0064586692294823405,0.006506855766497756,0.006570732665309677,0.00635218435268857,0.006689893019313901,0.006843342031077166
CNN,400,75,0.21257831,0,1.0,False,0.004219214983345875,0.004042694572816431,0.0043095438091330495,0.0045182783824256325,0.004207561362566077,0.005016800888822941,0.005022663608629639,0.004960776162899085,0.005331569602812821,0.005310770335707924
CNN,400,75,0.85092556,1,1.0,True,0.007606602319820796,0.007452954166122825,0.006469790850908188,0.005521936984127486,0.006516260790710501,0.006487914716079475,0.006587210116000067,0.006757164873816128,0.006731232806956781,0.006287554161902982
CNN,400,75,0.14769693,0,1.0,False,0.0034374562248718986,0.00295210477604336,0.004915432929656548,0.004531165443663295,0.0036269138952251105,0.004150857270809769,0.0045277049782060045,0.004853773436791176,0.005334384326528426,0.005034457973515203
CNN,400,75,0.9807262,1,1.0,True,0.007879442054167013,0.006597107733727286,0.0064129024041970776,0.004978794770440052,0.004677936648062289,0.004985254866771231,0.00535328468996682,0.005358360222104085,0.005591698024343693,0.005586325354698041
CNN,400,75,0.77639055,1,1.0,True,0.005792365782014194,0.007317140329319347,0.006078237183518067,0.0058856819371046094,0.005470655909685867,0.005054887564302111,0.005799672378594311,0.0056644545140824365,0.005781311554926723,0.005970303222538426
CNN,400,75,0.1625569,0,1.0,False,0.005843981704311494,0.004659069007130392,0.004631556154091918,0.00543551892029182,0.005261948963346441,0.004813701008680055,0.005627172692518959,0.005684414822395179,0.00604856776019203,0.006077327650285816
CNN,400,75,0.44761407,0,1.0,False,0.0028555456805722506,0.0033107731024293093,0.0055553024741103,0.00564625005527262,0.0060212961816520525,0.005755417610423245,0.005801565566646209,0.005876056123865855,0.006103139203254897,0.005800184642026154
CNN,400,75,0.9902872,1,1.0,True,0.007166787822277283,0.007301237970018971,0.008570809671172725,0.008885631152343077,0.007638575322007716,0.006617075084583617,0.007138012435961758,0.006677041015700759,0.006458712100634898,0.00675924493186089
CNN,400,75,0.6483901,1,1.0,True,0.008361764220951785,0.004526833406217378,0.004584806211402552,0.006110780561816799,0.006147467685591578,0.006584521801298069,0.0058194337901428615,0.006113630037205855,0.006136513808372707,0.00614399721111786
CNN,400,75,0.39029536,0,1.0,False,0.002844252045310734,0.0036508230310537426,0.004978736576949034,0.004427346257459984,0.004558846893785738,0.004915533392221897,0.0050500328785577165,0.005282343568120778,0.005598560957080094,0.005780102084469961
CNN,400,75,0.61552423,1,1.0,True,0.001607551163516282,0.0068979773961346256,0.008366580916347528,0.008664844739903785,0.00838020363061411,0.007808998619436495,0.007606532801603912,0.0076573158939888895,0.007571165335819479,0.007194731913143354
CNN,400,75,0.09952274,0,1.0,False,0.0015607025270962726,0.002802562383595218,0.003856654997504603,0.003503516977809565,0.0037178980675719197,0.0038163421522430328,0.0039528667695315645,0.004270331694410605,0.004540220581116464,0.0048251075130586185
CNN,400,75,0.0932853,0,1.0,False,0.0077567160461765395,0.004134158038015028,0.003262106193306103,0.0033396218285140097,0.003526441962228216,0.004373710573690638,0.00545099159354143,0.005695430323773848,0.0059101509530200495,0.006044559388641262
CNN,400,75,0.6667891,1,1.0,True,0.00675203339037179,0.006584544053794833,0.0040925591219981615,0.004116384537627945,0.0049340468724689175,0.005566809972032934,0.005251722030580792,0.0053659177464884635,0.005487325319550918,0.005572062276675863
CNN,400,75,0.5776527,1,1.0,True,0.0037965872541390376,0.005269713669930923,0.004274982137798243,0.005037163380300493,0.005586111041945077,0.006441095901028922,0.006373697066069675,0.006370926285824377,0.006124390639038728,0.005942416928122736
CNN,400,75,0.10229125,0,1.0,False,0.005625259247643681,0.005513217776385608,0.005991165504134737,0.006674841446243129,0.006195246820034029,0.006102166016422405,0.006609571101764055,0.0066043861652813575,0.006638813239253191,0.006521057529062588
CNN,400,75,0.37024897,0,1.0,False,0.0042726053828572915,0.005589145375888721,0.004040398453328316,0.0037477111903502633,0.004019370293921756,0.004910888530321166,0.005392371748013757,0.0057355423379714734,0.005290243863151822,0.004803936633623243
CNN,400,75,0.44069672,0,1.0,False,0.00810817724275557,0.00767888312469632,0.005485866690386655,0.003905631157484494,0.004667039780367644,0.0055098867894891376,0.004890754942877154,0.004982951846803093,0.005262854246258176,0.005223974826925541
CNN,400,75,0.47580582,0,1.0,False,0.005977380118828761,0.006681218251198251,0.006570280721540972,0.00825780226156272,0.007967186095718483,0.007366487187310557,0.007664101251154592,0.006964262072500268,0.006288311584123837,0.006127999031955769
CNN,400,75,0.40081924,0,1.0,False,0.00838006543225016,0.008945995312182927,0.0065036468494371,0.005154802534834471,0.004875982169443272,0.004050595836315702,0.0036002378023082117,0.004478341367039452,0.004345019194503499,0.004462476672493246
CNN,400,75,0.1525115,0,1.0,False,0.0019953400659878774,0.002693644851960058,0.003741340506778002,0.0040107763145449775,0.0038548445911602116,0.004238221517651089,0.003744081576838636,0.004136679580162086,0.004322811245631736,0.004144698145393032
CNN,400,75,0.43852198,0,1.0,False,0.0048184732553716155,0.0047003220938843715,0.004107488542578723,0.004752990941166636,0.005717910283180533,0.006161250199711999,0.0056169099071356554,0.0051399158247112916,0.005293964790114201,0.004966608595459886
CNN,400,75,0.07914557,0,1.0,False,0.003959183571243493,0.004459853179769183,0.0041618853136739615,0.00436422308602047,0.005039710145660462,0.005846427702377621,0.005423353272626702,0.004975792886106661,0.005175308230885614,0.005337900167193174
CNN,400,75,0.12985528,0,1.0,False,0.0021927239534044376,0.002302179060416393,0.0035048380399945473,0.0035626981228751064,0.0035564704702307558,0.0035495744469958065,0.0035405075099832935,0.003580654323865114,0.00419241565198969,0.004004774584893597
CNN,400,75,0.11148273,0,1.0,False,0.012194271331159435,0.006750552408785712,0.0059842198369348286,0.00512593070694225,0.005271738519129027,0.005366890626908596,0.0044450593073663445,0.0040818747309426286,0.004314751922453723,0.0045888008798959405
CNN,400,75,0.16504881,0,1.0,False,0.004912175534840011,0.005206880860738732,0.003148909472703079,0.003201065285287037,0.003727789267513308,0.0035181216876042864,0.003194285077277274,0.003340557200636947,0.0035019653158969385,0.003220402866467852
CNN,400,75,0.61459935,1,1.0,True,0.006397134044641173,0.004837027438984051,0.004771882924107368,0.0034683201442845214,0.0036128743615352313,0.004600077255193485,0.0048774007531470175,0.005096923370397572,0.004868736842219927,0.005000051257763054
CNN,400,75,0.116228975,0,1.0,False,0.009662980712562493,0.006229549563299465,0.004677664491154848,0.004965146333207874,0.00514096810773926,0.0051203245634371146,0.005154434711764134,0.005275043812966025,0.005505541318046547,0.005270664221373229
CNN,400,75,0.8770703,1,1.0,True,0.002942396176186373,0.006125974768894516,0.00470385327823297,0.00489973243591079,0.00537261036805418,0.005209288363513665,0.005065284615643675,0.0050215232417467,0.004861930184543319,0.005072110944550104
CNN,400,75,0.81496716,1,1.0,True,0.0051985965186632215,0.006346551585193645,0.005131573260557843,0.00620196486234984,0.006189157170911309,0.005874302613115957,0.006417469317684005,0.005860770181038881,0.005315860843711272,0.004786409148524786
CNN,400,75,0.12847836,0,1.0,False,0.007906878611530494,0.005934231778914477,0.0038226537967566733,0.004533786679775084,0.0038658960852395096,0.004360348248467455,0.004443624927903343,0.004614940561817814,0.004731487609830356,0.004907466994311182
CNN,400,75,0.63553643,1,1.0,True,0.006049988922819607,0.005323582253905605,0.006161768556340099,0.0068847030812466325,0.00676401268581081,0.006553822903145315,0.006755695021916722,0.006639379451294744,0.005919035268385992,0.006167960666934372
CNN,400,75,0.91334796,1,1.0,True,0.010984294173256411,0.009737240088438423,0.008541180907241411,0.009258618805754201,0.009513443785278998,0.00884277015010739,0.008804135750619555,0.008484034021864734,0.008340931730189181,0.008072329918761646
