model,N,K,soft_output,hard_output,label,correct,morans_I_lambda_1,morans_I_lambda_2,morans_I_lambda_3,morans_I_lambda_4,morans_I_lambda_5,morans_I_lambda_6,morans_I_lambda_7,morans_I_lambda_8,morans_I_lambda_9,morans_I_lambda_10
ViTpretrained,800,87,0.27333695,0,1.0,False,-0.00021182082917468135,-0.0006626992952207747,-1.9755096700327734e-05,0.0005442966908872142,0.00046604866245979773,0.0002182733992952233,0.00036597091218783863,0.00044594953164049677,0.0005740035881511271,0.000497196529524321
ViTpretrained,800,87,0.37309867,0,1.0,False,-0.0010610018436519918,0.00016250433281121525,0.0012883134303972737,0.0010506016559998009,0.0012079307183242302,0.001052677853978069,0.001002844122503663,0.0007078704659034204,0.0009181584934990073,0.0009973540975200476
ViTpretrained,800,87,0.27828994,0,1.0,False,0.0013347029831507478,0.0009238588186778186,0.0010481869001873212,0.0013490091756542348,0.001474217419870568,0.0014728341850238557,0.0014703393498754908,0.0012695233028248553,0.0014246142810200725,0.0013353792257056198
ViTpretrained,800,87,0.20699187,0,1.0,False,0.00167472376272557,0.000979148821048415,0.0006105970266196495,0.00042629877675842617,0.0009492449043066263,0.0012514259910571513,0.0011734420409463793,0.0013370206136098476,0.001116606911282701,0.0013250449743325802
ViTpretrained,800,87,0.46699786,0,1.0,False,0.0026636854881774063,0.0012642680310433186,0.0008478854235283067,0.0006812448388981515,0.0007964756595525867,0.0010608588196050705,0.0007924727125968841,0.0008998077733390995,0.0009793177356481433,0.000894916827023358
ViTpretrained,800,87,0.5068044,1,1.0,True,0.002877530508518994,0.0008239077903192496,0.0006401670686085758,0.0010491905365037255,0.0006188940754391013,0.0008988435228709844,0.0010969778164791775,0.0013476983023765082,0.0012772341974128314,0.001460407233989227
ViTpretrained,800,87,0.5768583,1,1.0,True,0.000679588210873233,0.0011541585470256975,0.0009578470254461938,0.0007078356410472564,0.0005603796013865569,0.0007210385589233639,0.0007351083578025354,0.0009677423750556108,0.0009561457051429014,0.0012924979067043755
ViTpretrained,800,87,0.6525068,1,1.0,True,-0.00023640390966306898,-0.0005197383500160369,-7.848365071898774e-06,-8.849606552849709e-05,0.0005675083988231124,0.0007816633957544683,0.0006801706769282049,0.0007117187425785259,0.0006675408623525885,0.0006646592927036691
ViTpretrained,800,87,0.8506082,1,1.0,True,0.0017395431796554015,0.0015653292010241653,0.0008164535056483744,0.0011885445446497512,0.0012197641496796822,0.0011016615123574406,0.0010798322852901459,0.0012156683048396124,0.0011046232322950158,0.0010869542059197728
ViTpretrained,800,87,0.4322158,0,1.0,False,0.0005095609094967324,0.0014288668237312197,0.001313316585148386,0.0008977201371344121,0.0009375331903564614,0.0009460136940147238,0.0010590635352636674,0.001153895613919706,0.0012495651228155514,0.0012416825611184514
ViTpretrained,800,87,0.39997926,0,1.0,False,0.00036093520287574317,0.001569742952332102,0.0013347276720849584,0.0016509411074944497,0.0018144045243929639,0.0017497159217802975,0.002035814251860836,0.0018141912968213437,0.0018550026214524881,0.0017331378472546378
ViTpretrained,800,87,0.79111195,1,1.0,True,0.0025264130072316956,0.002135075194509061,0.002267505731669691,0.00228592694887501,0.0016488997293104698,0.0013992579403619488,0.0015588227166851113,0.0015775367337659454,0.001547262283099536,0.0014080029236162234
ViTpretrained,800,87,0.5554794,1,1.0,True,-0.00022481642112034627,0.0008868456410500255,0.0008237448348283746,0.0017493864887213279,0.0015272129078425295,0.0010981646948634942,0.0010096411520276077,0.0010190295664414672,0.001288195078534838,0.0012214701316548846
ViTpretrained,800,87,0.33856508,0,1.0,False,0.001277364719572357,0.0010574039131787205,0.0017697309474272696,0.0014184640324429209,0.0018088139198917793,0.0020435642699390463,0.0018147365944648575,0.0018050095566575699,0.0015890922376003201,0.001573681671872273
