model,N,K,soft_output,hard_output,label,correct,morans_I_lambda_1,morans_I_lambda_2,morans_I_lambda_3,morans_I_lambda_4,morans_I_lambda_5,morans_I_lambda_6,morans_I_lambda_7,morans_I_lambda_8,morans_I_lambda_9,morans_I_lambda_10
ViTpretrained,100,20,0.37256315,0,1.0,False,0.00980107218217991,0.006918275100077512,0.007339480906854056,0.006334089591817086,0.007434482240283598,0.005668679736041631,0.0058059593045654,0.007445070221178662,0.006824513635726677,0.006770078436156397
ViTpretrained,100,20,0.21136026,0,1.0,False,-0.0070065900605629184,-0.004192305928758957,0.00190131765272137,0.0012377862194422461,-0.0030869785713535693,-0.002656651941036085,-0.004344241303878357,-0.002147187952669254,-0.00098514235268316,-0.0007231765924599679
ViTpretrained,100,20,0.8708274,1,1.0,True,0.006892240395963316,0.007969771116182169,0.010188862782160342,0.006987662857562648,0.0024591462849091897,0.004869516377030107,0.005328794297694872,0.005344436496706882,0.005338615636405623,0.005422082062130312
ViTpretrained,100,20,0.36404565,0,1.0,False,0.02542005670948753,0.01824249169735457,0.013091378210796898,0.012831637820537532,0.011010858823487272,0.009317392721251335,0.009271499840034829,0.010402837964587781,0.01052792137659024,0.009048554401342293
ViTpretrained,100,20,0.9384868,1,1.0,True,0.03163289319202524,0.02234847598773914,0.02120603745850151,0.017610152690794453,0.01793962236263151,0.014773339276093879,0.01230240640162602,0.00965917316090235,0.010118261603828282,0.010184778809968842
ViTpretrained,100,20,0.99799985,1,1.0,True,0.023405731495220114,0.016208360150713582,0.019150158793472767,0.016274739736788984,0.01444468495711549,0.012925791753378033,0.012773007447319977,0.013382450354604187,0.014160299244461511,0.013301029101601684
ViTpretrained,100,20,0.904808,1,1.0,True,0.023179826943258094,0.019957256959870957,0.02138672929488449,0.01575403389918902,0.013115561045386862,0.01060312419579967,0.01020179577206887,0.013129971208206194,0.011214565685417191,0.011242370305347586
ViTpretrained,100,20,0.20183083,0,1.0,False,0.010838036873333295,0.008353498062402775,0.004765863490237651,0.003627423471776305,0.003027117718965089,0.0011409065901484678,0.0006150828701128174,0.00194655409193413,0.001524931190086566,0.0007180882013431454
ViTpretrained,100,20,0.18206501,0,1.0,False,0.0013424963296958287,0.008233086784779003,0.0010999411875994886,0.007355423590760447,0.007036666807209194,0.0043596967000795,0.007092035234434422,0.004471533818108507,0.003718340453538095,0.004303326285461045
ViTpretrained,100,20,0.33769146,0,1.0,False,0.003030535273059395,-0.004161124367655589,0.00013716808867554256,0.0034380193097196116,0.0038382290322030647,0.0015926270947637855,0.004140172152322953,0.0037467542958489427,0.004026690242877704,0.004468959662814368
ViTpretrained,100,20,0.47415414,0,1.0,False,0.024621645163204,0.015712297347819447,0.01718709657581352,0.012130280823296905,0.0076044332527365555,0.008056632635454712,0.007054849810755647,0.005759583173682085,0.007483831836494159,0.009795245604176855
ViTpretrained,100,20,0.61782,1,1.0,True,0.005005108522281991,0.0016735627767529284,0.0002013596407832552,0.00480235697006981,0.004040719909282724,0.005466004418376979,0.005942369557582293,0.007332552277537211,0.007552341447775598,0.007991575292882018
ViTpretrained,100,20,0.19811603,0,1.0,False,0.009746366137559656,0.006843864852117782,0.011203172126362277,0.011749436822604188,0.009554733282555149,0.010889713980759198,0.010283524852715371,0.010125038153270273,0.007857328514298299,0.008229188270210115
ViTpretrained,100,20,0.21113716,0,1.0,False,0.005200096614090504,0.0002479570492939829,0.003006297378540534,0.005941550634738796,0.0038139050147632464,0.004358400081643989,0.005055021363238112,0.005274651439152321,0.004820348273023505,0.004755573125216709
ViTpretrained,100,20,0.8437927,1,1.0,True,0.013058097616366357,0.008562202839129413,0.010813982701593944,0.008383405210646396,0.010226412480527304,0.01027582065556096,0.009821531820691957,0.007215223121046882,0.006417644775734686,0.006834740515376453
ViTpretrained,100,20,0.24562472,0,1.0,False,0.004846039586176571,-0.0011198623474698872,0.004009050049805141,0.0028663704398401058,0.004736142655910222,0.007488727709659577,0.007047182950635658,0.00711502322448985,0.007503304867019642,0.006492872532335754
ViTpretrained,100,20,0.86647904,1,1.0,True,0.007316501146833423,0.00763858933182855,0.0011669462323719267,0.0041008931174271275,0.0020575320362276055,0.005201205678661699,0.004137836709961344,0.004569352636015391,0.004586717885318746,0.004689067234362064
ViTpretrained,100,20,0.6372641,1,1.0,True,-0.0038568878374426116,-0.0055052835998407445,-0.0014578001977911602,0.00329986950904529,0.0012817631862579372,0.0014792617689418947,0.002817298843329178,0.0012426848963071329,0.001317449456876985,0.0025221492167758447
ViTpretrained,100,20,0.5811106,1,1.0,True,0.02846887495562532,0.014299442263853086,0.008218759534247397,0.0075266247649454325,0.004936047246154721,0.0067569482239653545,0.008409611828712707,0.007577814979025869,0.006090788919387617,0.0056361008882776014
ViTpretrained,100,20,0.62022036,1,1.0,True,0.015929669645842606,0.01936025763392394,0.014323233952877724,0.013307941486757506,0.011234515338071325,0.008890063479906113,0.00673529041918116,0.007336381805099991,0.008260816294113564,0.006921925407081805
ViTpretrained,100,20,0.72337437,1,1.0,True,0.018172250351957183,0.013598349553283576,0.003871027922837422,0.0019389028173137878,0.0022154581277399766,0.0005760092161453142,0.0020734141270047734,0.004101405936628637,0.005722851799544326,0.003866135932246725
ViTpretrained,100,20,0.4825557,0,1.0,False,0.0169117469235145,0.014050652783981184,0.01191646190028393,0.006765248196635481,0.003619948469669182,0.004373370118813312,0.0032272559301139416,0.0033052807559500385,0.002902184940145216,0.0045675518641253516
ViTpretrained,100,20,0.5919442,1,1.0,True,0.014176241402795497,0.005731194840233353,0.009280539195988239,0.00905028534110009,0.008046164161774354,0.004174152728518589,0.0034949358810816068,0.002612231399407496,0.0019248440840447388,0.001076883288018776
ViTpretrained,100,20,0.85738915,1,1.0,True,0.022818716087903767,0.014203441280806008,0.010399570981405122,0.0038916336964845318,0.0067173108471216625,0.008148382161370895,0.006693308539482101,0.008374723662932541,0.00790522621267713,0.007493034188989995
ViTpretrained,100,20,0.7744578,1,1.0,True,0.009725102348490024,0.014043606095137875,0.01909877788897267,0.013915525683366967,0.014762542375106087,0.012741687221525386,0.012526448985465375,0.00944879553357442,0.007625903240879614,0.0074738274512291805
ViTpretrained,100,20,0.78507954,1,1.0,True,-0.005416324255791447,0.001275925987654187,0.0029882247545966823,0.004328251013687439,0.006733020974880216,0.006642515280300986,0.00860887938410962,0.00631523211639923,0.00568689939174627,0.004423968890018848
ViTpretrained,100,20,0.4688955,0,1.0,False,0.01008386376494686,0.009072372809552306,0.005317444782761434,0.005432345244634396,0.007980455248453703,0.006216210885830112,0.005917106236561492,0.003658003740011797,0.003931562572600023,0.004266259830975034
ViTpretrained,100,20,0.71528953,1,1.0,True,0.01345330499698987,0.0049147997178019,0.0034989788251433658,0.006365446392974906,0.004779197049988746,0.003860115376884239,0.004012981011078186,0.004712904591384112,0.006221132966716977,0.007381189940080147
ViTpretrained,100,20,0.36289582,0,1.0,False,0.026005677657079337,0.017025031993654363,0.01045749680260011,0.005427960466196581,0.005231521747245353,0.004208869562642182,0.00656390311958444,0.005919168542494612,0.005930566300520574,0.005986029513415052
ViTpretrained,100,20,0.7285845,1,1.0,True,-0.004474060056054308,0.003628820992893891,0.0022152634229575317,0.0018667338690897307,0.002938868685873143,0.002698411477875559,0.002617939483917853,0.004394744598241124,0.005865263781076323,0.007249890625693419
ViTpretrained,100,20,0.9649124,1,1.0,True,0.016925067721776748,0.015388144480625605,0.012476859993957779,0.012129104295179613,0.013259990324530223,0.00924772360626209,0.009911363855667557,0.009510020432902836,0.01039677152035276,0.010002748752008616
ViTpretrained,100,20,0.6179727,1,1.0,True,-0.0044664330378616,0.004964422317151426,0.004761088108714137,0.007488123454511927,0.008814247348425992,0.0069250498126731475,0.00721776805960674,0.007319158029705882,0.005461365832884406,0.005277454897304417
ViTpretrained,100,20,0.9560782,1,1.0,True,0.012266595491499225,0.016524008663636645,0.01687573237682812,0.018590577673754424,0.01761275869932607,0.01879325244188004,0.016664104837212323,0.01521081014798298,0.015822076125824813,0.016548968145406604
ViTpretrained,100,20,0.8566803,1,1.0,True,0.01854754709916065,0.024005942931793357,0.017294610524416432,0.014148928924982573,0.013058733374649783,0.010172494435340495,0.009333108133529801,0.009130945801530952,0.010459600076649422,0.009511163536902074
ViTpretrained,100,20,0.7034023,1,1.0,True,0.008001832578506157,0.006519586200411104,0.002913919471582828,0.0042797040728895916,0.008632891828395843,0.010364376229700316,0.007252565460527421,0.0075443897199658425,0.007787402510702263,0.006725005062846603
ViTpretrained,100,20,0.9856044,1,1.0,True,0.02040206140622051,0.021319415226895875,0.01734679047559501,0.011487122871566965,0.010432990185567518,0.009153535750583836,0.009940468333300683,0.011439700209061241,0.009333674761598576,0.009207465401289269
ViTpretrained,100,20,0.21358326,0,1.0,False,-0.004506793485287198,-0.00676039205595284,0.0018437098341611813,0.0003922302309376007,0.004134532651324472,0.004209899830824104,0.005639122808620155,0.005056156054719139,0.004719459940171737,0.004961502721358347
