model,N,K,soft_output,hard_output,label,correct,morans_I_lambda_1,morans_I_lambda_2,morans_I_lambda_3,morans_I_lambda_4,morans_I_lambda_5,morans_I_lambda_6,morans_I_lambda_7,morans_I_lambda_8,morans_I_lambda_9,morans_I_lambda_10
CNN,600,72,0.12154917,0,1.0,False,0.0029883047686592714,-5.292110190166535e-05,0.0004942289080037443,0.0007154694986922466,0.0011915012427076638,0.0010999221020501929,0.001065823419734478,0.0011313909108501866,0.0010108826974552338,0.0009335477526433218
CNN,600,72,0.34034947,0,1.0,False,0.0008780669333581868,-0.0009702392386119291,-0.0003913631231403319,0.0005022595616896335,7.021444004906789e-05,0.0007764439654577054,0.0004925511200946462,0.0004962911350588998,0.0008509837654316032,0.000967740242995907
CNN,600,72,0.9815129,1,1.0,True,0.004836696704269915,0.004409359055680041,0.0041592646682617595,0.004310559414079616,0.003436912973172712,0.0028973814531394705,0.0028324229502998,0.002847902615454637,0.0024584187876596493,0.002296966360144622
CNN,600,72,0.7286138,1,1.0,True,0.0013610678972237134,0.0014680323605788382,0.0020063681630384128,0.002296470596777626,0.002114239431184272,0.0015861719059997415,0.0017425600991657002,0.0020120575925357464,0.0019129904475819783,0.0015938663635568621
CNN,600,72,0.81297565,1,1.0,True,0.0012728973749059676,0.0009731796971481686,0.0006156019434572811,0.00051627396522463,0.001274182494652041,0.0015552407472965728,0.0019540092490205243,0.0016900656867313737,0.0016951313874804333,0.001482498004032424
CNN,600,72,0.16247655,0,1.0,False,-0.001187994741375986,0.0008964666309652865,-0.0007574751530573315,-0.00048309575830026455,0.00016290238581686856,-8.566847501081171e-05,-0.0001317405223564705,1.7657361233730686e-05,0.0001204158001598624,0.0001949880129052104
CNN,600,72,0.5206828,1,1.0,True,0.0010215093691599432,0.0009162506921616821,0.0016417797329795565,0.0014841483019261057,0.0018723702736965853,0.0014214188437932723,0.0010159901965071164,0.0010607670176027426,0.0012490445600286642,0.0012161892996359438
CNN,600,72,0.7872655,1,1.0,True,0.000359870763342531,0.0012927698529923179,0.0016683605498297462,0.002012049953456842,0.001972473510696654,0.0023349243494010766,0.002153759438422634,0.0021539179221008275,0.0020553611040350687,0.0022318444641788856
CNN,600,72,0.14574827,0,1.0,False,0.0003671559698995732,0.0001251911838245006,0.0002878616258787214,0.0004252260068535492,6.237506726828964e-05,0.0001358288606093841,-0.00010480856587388786,0.000302827256123783,0.00037832603893324645,0.00041982586556566263
CNN,600,72,0.23461656,0,1.0,False,-0.0009300262885455311,0.0009349817257761175,0.0017366279064046106,0.0017538821075767446,0.0013695168638432488,0.0011597868934788641,0.0010435847596354233,0.0011846419435157596,0.001050117912230184,0.0011892091119959094
CNN,600,72,0.12316903,0,1.0,False,0.0013490004143332827,0.0019375304555543029,0.001248831334310366,0.0017466972554382018,0.0015181478876061384,0.0014255331237020476,0.0017039586307172083,0.0018028816848184275,0.001795008696326262,0.0016578666673970235
CNN,600,72,0.3198681,0,1.0,False,0.0018385107541440036,0.0026087030602197163,0.0015257178761791332,0.0010620742459621346,0.0015509307654210408,0.0013692446711780783,0.001655859689692081,0.0013264657785991183,0.0014142939421146995,0.001397993177326684
CNN,600,72,0.88773084,1,1.0,True,0.0002820845761617744,-4.451102569134888e-06,0.0011856185323263497,0.0020499827733495104,0.002443931661768251,0.002258751058486717,0.0024999256327490923,0.002910432105421001,0.0029811924431965725,0.002747927090038445
CNN,600,72,0.5890274,1,1.0,True,0.002496673702146437,0.0026714492865438583,0.0025604371048743445,0.0028629599944296293,0.0025845748535233875,0.0023892012298849393,0.002091031521815826,0.0021004586273455222,0.0020266437108329683,0.0021685623077194677
CNN,600,72,0.21325634,0,1.0,False,0.0007957815594246452,0.0018545948879428744,0.0015905309267097289,0.0016584153270106314,0.0016484710999646204,0.002224421222315085,0.001929128200756596,0.0018707767591043562,0.001693722602549124,0.0013558417540787393
CNN,600,72,0.5650239,1,1.0,True,-5.591386201637708e-06,0.0008991560088222548,0.001409636961979195,0.0022488060590433695,0.0020525978939948193,0.001787036599071808,0.0017700926829256579,0.0016366846113673647,0.0017708683413652563,0.001343245979913955
CNN,600,72,0.7300934,1,1.0,True,0.0035978907001261475,0.0013233062711675346,0.0009119858214366347,0.0008697133697930286,0.0015067017508411287,0.0013475662533231252,0.0015056828745454245,0.0015547938669748394,0.0018597462717881974,0.0019912137917651737
CNN,600,72,0.13310258,0,1.0,False,-0.0014373751073067085,-0.0010624315677758823,-0.00035998648770112126,-0.0005969210684114226,-0.00027822831059761555,-0.0003328308575397322,0.0001864455807430443,1.0510131749231914e-05,0.00029736708475802947,0.0003411103214929567
CNN,600,72,0.24926089,0,1.0,False,0.0009566784531284742,-0.00020391373671623322,0.0006979306733865651,0.0009714289062598952,0.0009350816928381495,0.0011178220510027893,0.0017601847506949176,0.0016826685048573597,0.0013810479800624568,0.0012741636638180804
CNN,600,72,0.47798368,0,1.0,False,0.00039978906675328834,0.0016226795553703926,0.0019483171725413057,0.0019797980653745474,0.0019223360279127756,0.0016777307947880421,0.0015582462092951072,0.0013568377725597853,0.0012705295112101233,0.001118604189413457
CNN,600,72,0.21837725,0,1.0,False,0.0017390466834781805,0.0013004118277641138,0.0018385587659467018,0.0018245166328522792,0.0020189310487728125,0.0020412768437406553,0.0014719781453396686,0.0016036414731369218,0.0016983916424188616,0.0017835928108383295
CNN,600,72,0.91868365,1,1.0,True,0.0026339689799981724,0.0025582675227592555,0.002346896993321211,0.0021764774108054114,0.0023472737500679283,0.0027860446641537113,0.002688371462802414,0.002281838640488904,0.0023290555072032998,0.002097053174538079
CNN,600,72,0.62654775,1,1.0,True,0.0012991023625501708,0.0019685469414658526,0.0022432300079021756,0.002085897583548723,0.0017697900308189115,0.0015292314284817805,0.001468584287646394,0.0012274720045054729,0.001558466838071241,0.0017275303356809426
CNN,600,72,0.78653616,1,1.0,True,0.0004438482645716949,0.0014328316458668787,0.0007511638268995225,0.0016680845422419731,0.0018434021904823765,0.0015762830075149949,0.001604476233824186,0.0015637346100221003,0.001315040193608691,0.0014170907424351006
CNN,600,72,0.68805224,1,1.0,True,0.002827136933256758,0.0006465294793050774,0.0014721926851822278,0.0013732028279092338,0.0008438847470238647,0.0006238611934106724,0.0005536390579557386,0.0004387127057995281,0.000958688709615761,0.001044710801663393
CNN,600,72,0.9248653,1,1.0,True,0.0018671839531271893,-0.00010292084800311893,6.788140141223491e-05,0.0012106603378062345,0.0010346614439212972,0.0013123561591911375,0.0014002613511011773,0.0013896391406357793,0.0014818634336652872,0.0016732165595862826
