model,N,K,soft_output,hard_output,label,correct,morans_I_lambda_1,morans_I_lambda_2,morans_I_lambda_3,morans_I_lambda_4,morans_I_lambda_5,morans_I_lambda_6,morans_I_lambda_7,morans_I_lambda_8,morans_I_lambda_9,morans_I_lambda_10
MLP,600,126,0.779532,1,1.0,True,0.012488171157816863,0.00973466450101101,0.008482254586252723,0.008413842417311574,0.008939729394522516,0.008847132478606913,0.008231787711942166,0.008230574385628898,0.0082808841114888,0.008363448752169694
MLP,600,126,0.44392827,0,1.0,False,0.007822360360300913,0.009193480946176974,0.00915110325722748,0.008881271306486643,0.009055980434314591,0.008639672812061478,0.008689804704411788,0.008750326567901904,0.008970216709393698,0.008979192401454108
MLP,600,126,0.6766269,1,1.0,True,0.008481432308302637,0.0069096123323480994,0.007304832508469816,0.008606201598403595,0.00801558354312724,0.007460511623026971,0.007619733092307249,0.007668942493107963,0.008264606013439143,0.008341894046804969
MLP,600,126,0.78879356,1,1.0,True,0.005992056992069308,0.007116679672914748,0.006955663429514235,0.007886428755335509,0.008449533707376737,0.008139695052196683,0.00831872431625878,0.008308663416999424,0.008225885719150044,0.007996026389444378
MLP,600,126,0.73859686,1,1.0,True,0.006634350235963266,0.005061256464618283,0.004977176625923631,0.006608078066918438,0.006137570303904545,0.006329960248826529,0.00636050589784101,0.007023537235774943,0.007574423348742953,0.007957203329481546
MLP,600,126,0.5824247,1,1.0,True,0.006740872889033487,0.00594185613597621,0.006438263111868872,0.006349139894142137,0.0062922350144541265,0.006901493800638457,0.006702348612030943,0.006573060124146862,0.006183426230680207,0.006479426564580466
MLP,600,126,0.38909376,0,1.0,False,0.008091010766688913,0.008345628758895312,0.007770146643159162,0.007822692541206511,0.008468850165501536,0.008033761328576763,0.008095084866532645,0.00811206350897968,0.007687970307609984,0.00797178166547964
MLP,600,126,0.6248079,1,1.0,True,0.011583752750087896,0.009231371040543744,0.008533111966926495,0.00852850615974197,0.008665865058914002,0.008816719773607967,0.009447793883246795,0.009110934256223025,0.008865158521185173,0.008480238747882885
MLP,600,126,0.2467784,0,1.0,False,0.009885059045294693,0.008837939501369317,0.008812904685436725,0.008516802783887974,0.008075993512265699,0.008241941419184705,0.007921541412106476,0.00778817251388626,0.007762920547432968,0.007682879258944945
MLP,600,126,0.48538825,0,1.0,False,0.008592913670886779,0.008323994745421939,0.00837269274282643,0.00816639036510655,0.008365701387298901,0.008274881622953473,0.008278900968117208,0.008331283712563298,0.008533663008360151,0.008497745148037845
MLP,600,126,0.34350598,0,1.0,False,0.009408839918795051,0.006777013351496502,0.007490447996673237,0.00718160628730122,0.006965940290294627,0.0070194479539349664,0.007377360244287442,0.007274207022799107,0.007093672927014149,0.007130262800150237
MLP,600,126,0.3791343,0,1.0,False,0.006686774963758668,0.0074137510022736185,0.007779620820264701,0.008164178637822695,0.007847554178625581,0.007842151687327346,0.007695429978846253,0.008119306608199166,0.007897684630569751,0.007533609481903068
MLP,600,126,0.26753333,0,1.0,False,0.010267105133444995,0.008137447356008408,0.008653769884270085,0.008859616123854263,0.008380245258123833,0.008420224918061514,0.008128023657951506,0.008098555997562576,0.007869245759552584,0.007861287093067123
