model,N,K,soft_output,hard_output,label,correct,morans_I_lambda_1,morans_I_lambda_2,morans_I_lambda_3,morans_I_lambda_4,morans_I_lambda_5,morans_I_lambda_6,morans_I_lambda_7,morans_I_lambda_8,morans_I_lambda_9,morans_I_lambda_10
ViTpretrained,600,59,0.85359234,1,1.0,True,0.0001309894710867938,0.0009499863234122893,0.0012575247251887657,0.00126703169017391,0.001038563324652591,0.0012802464299779943,0.00164605473025696,0.0012991644697651257,0.0015912538683849316,0.0015665400507602273
ViTpretrained,600,59,0.6076758,1,1.0,True,0.002224455506650031,0.002003547294363106,0.0013940213685527483,0.0005397678184748024,0.0009858127574018164,0.0008611455332551419,0.0007961502528684295,0.0006474424823673101,0.0006873187307288255,0.0009616398310783043
ViTpretrained,600,59,0.3701469,0,1.0,False,0.0010645055604254392,0.0022238590638428077,0.0020862714501524104,0.0010976662087861895,0.0011538082146380333,0.0004987163975855357,0.00028421258826969505,0.0002119691665568205,0.000516082689398153,0.0006270049831889531
ViTpretrained,600,59,0.43350887,0,1.0,False,0.0006897699394255522,0.000982804375386075,0.000642504629317371,0.0009911876067180605,0.00118211107385368,0.0015865729882728933,0.0013601527243386417,0.0011784188671429918,0.0013862717607061844,0.0014745975158510756
ViTpretrained,600,59,0.11925646,0,1.0,False,0.0005637999853135014,0.00074490514020162,0.0007184268250607772,0.0007793434802059834,2.669771379105237e-05,0.00019840543440977285,8.480190640951768e-05,7.224415846065522e-05,-6.642796485221247e-05,-8.450131948344337e-05
ViTpretrained,600,59,0.6663058,1,1.0,True,0.0018363859553950368,0.002431060396351664,0.002080988742797923,0.002085047050602269,0.0021295008639849954,0.002008900471086358,0.0017505133637198832,0.0015826529524625705,0.00145341303756477,0.0012289852109468333
ViTpretrained,600,59,0.6152134,1,1.0,True,0.0012491917640427175,0.0002894768663873438,8.615947165199312e-05,8.188741125214712e-05,0.000412102776469923,0.0005945611314998024,0.0009050539860122395,0.001112579418998563,0.0011143930481161577,0.0010997933358970321
ViTpretrained,600,59,0.86922246,1,1.0,True,0.0004225585647940833,0.002157918036018665,0.0021941355559748684,0.0015619832252507554,0.001567856560236968,0.0014837248133216729,0.0015821193391473817,0.001468851376532489,0.0015017512292382854,0.0013382653659104458
ViTpretrained,600,59,0.2452546,0,1.0,False,-0.0006844685111153308,-0.0003425162770195858,0.0013675303154374937,0.0011645816491512022,0.0004891174116001254,0.0009499907808297432,0.001084217207880101,0.000819345599375499,0.0007843198764379033,0.0006425630853155265
ViTpretrained,600,59,0.13809966,0,1.0,False,0.0019270759054373283,0.0010767942014765974,0.000540904688921409,0.0009101050644036376,0.0009602983752078675,0.001253013907783993,0.0014067775084563065,0.0013645064500289487,0.0011040229491914614,0.0012660842394237632
ViTpretrained,600,60,0.22043218,0,1.0,False,0.0015031703207640072,-0.000322528839956121,0.0005206027725083475,0.0008523658950756676,0.001129088643308589,0.0008717430728818796,0.0005991882071931668,0.0008254750098315746,0.0011258340182313835,0.0014283691341484043
