model,N,K,soft_output,hard_output,label,correct,morans_I_lambda_1,morans_I_lambda_2,morans_I_lambda_3,morans_I_lambda_4,morans_I_lambda_5,morans_I_lambda_6,morans_I_lambda_7,morans_I_lambda_8,morans_I_lambda_9,morans_I_lambda_10
MLP,600,123,0.4017833,0,1.0,False,0.0030834560281150928,0.0032725645614989324,0.003675964417295743,0.0040778004232479405,0.004318387290624829,0.00496851042065024,0.005815052092261825,0.005591497199725007,0.005689034952404501,0.006157064048009082
MLP,600,123,0.43838236,0,1.0,False,0.007638859535476985,0.007670313834581154,0.007228102751936556,0.008061164341096468,0.007601992062121242,0.008011855260124132,0.007624728732166136,0.0074103799506454356,0.007430839582912865,0.00782641075164812
MLP,600,123,0.38346514,0,1.0,False,0.00796323200739905,0.008582536044483084,0.007277933695633297,0.007785187709034238,0.007794493985354493,0.007389357277631486,0.007473584399100257,0.007448172324988556,0.007414823378813583,0.007542980074154165
MLP,600,123,0.22670269,0,1.0,False,0.006224502648581925,0.005742113499937374,0.005305597617611705,0.006104402422233853,0.006480490358127381,0.0066683280090093664,0.0067444094952137405,0.006432793526141025,0.00663999071832487,0.006382730115801667
MLP,600,123,0.8589536,1,1.0,True,0.008280294693089437,0.008086781784219593,0.008736410920062904,0.008230016691939016,0.008432110421426336,0.00841388328618659,0.008512313095193904,0.00872587203741008,0.008356081674129203,0.007971439132061225
MLP,600,123,0.53438807,1,1.0,True,0.0063340987430992625,0.007169660461205184,0.00697139458943259,0.007084332936102683,0.007488270074475589,0.007035476656333988,0.007038512851238088,0.006914974633307605,0.007266376321743351,0.007772413938247082
MLP,600,123,0.7926845,1,1.0,True,0.00633423043536384,0.009570317339387607,0.008430463445845282,0.0078627261428066,0.008216664331211718,0.008438658348172503,0.00818816211056879,0.008306131019354783,0.008163058322738831,0.008311145423688892
MLP,600,123,0.6977199,1,1.0,True,0.007089981716582118,0.008438396853942256,0.007631755421392235,0.008134819121338545,0.007937086567227898,0.007734654840824344,0.007677894099191679,0.007593469251558756,0.00786090058008292,0.008214384663570103
MLP,600,123,0.48546696,0,1.0,False,0.00506757017686549,0.00645199913898991,0.007542806706937736,0.007756941971613167,0.007216110157365281,0.007019110127588726,0.007334623430441178,0.007559259574916622,0.007651718289918482,0.007899632632340201
MLP,600,123,0.35082015,0,1.0,False,0.007681092031392284,0.006340155378443929,0.006914246598266616,0.007217182764911608,0.007437283425003428,0.007137551986560192,0.0070143463939004915,0.006905002654912096,0.007176504874483904,0.007449711007218211
MLP,600,123,0.2324549,0,1.0,False,0.006146862253800115,0.006508315269038547,0.006937428654189786,0.006387981903007719,0.006743345010250102,0.00685674501537965,0.006584712205728076,0.006681220582978347,0.006937572113164631,0.007041569765101856
MLP,600,123,0.8374438,1,1.0,True,0.005047541898639637,0.0060817435016799325,0.00803910637392319,0.008018873564429796,0.008641796790215081,0.008368112475140604,0.008788803021804478,0.00888701015798578,0.008996474737936782,0.008784702682525923
MLP,600,123,0.63795674,1,1.0,True,0.008318346224011189,0.006542919765683516,0.008142568895697245,0.007346053721702146,0.007278463560988827,0.007754098965611982,0.0077679248180117485,0.00791845679381915,0.008261957933975318,0.008272838689214733
MLP,600,123,0.65231854,1,1.0,True,0.002955895364381546,0.004896026019401696,0.004852246236063896,0.005242295419444148,0.005465153311338613,0.00555858709004016,0.006028746626821391,0.005965485061337793,0.005901197281311163,0.006202599063606695
MLP,600,123,0.63778573,1,1.0,True,0.009989061223344612,0.0081179864866494,0.00735674588887261,0.006657777239043553,0.006791664103209875,0.007212752694220756,0.006927577481403926,0.006852764304512898,0.006993674714113013,0.006974814556752844
MLP,600,123,0.8321716,1,1.0,True,0.011639880535711229,0.011348636397902453,0.00844636226888446,0.007416171726582377,0.007974305121739687,0.008260732382027425,0.008621869986471006,0.008653565039579873,0.008660590978115713,0.00837892936620561
MLP,600,123,0.6346777,1,1.0,True,0.007341925862005962,0.008534482481135362,0.009539586281845583,0.009419424009754342,0.009638397012671125,0.009389554928188836,0.00923376048902125,0.008700271856907249,0.008426936913600268,0.008249153265868536
MLP,600,123,0.39943144,0,1.0,False,0.008047466683439907,0.008839690980670018,0.009103519131042603,0.00919919068584925,0.008902456468488211,0.008525148453591138,0.008350774172274962,0.008290845403369005,0.00823580073190995,0.008257569847275452
MLP,600,123,0.19731368,0,1.0,False,0.011011344276697267,0.009817388920598368,0.00911218209054522,0.008914878771547008,0.008287892212071464,0.007891116252516183,0.00826511376306517,0.008361708088461737,0.008429845131519557,0.008190942286921585
MLP,600,123,0.3368215,0,1.0,False,0.00916436916034372,0.008364426008251588,0.006292248471452275,0.006158012149511321,0.006929303950197029,0.006839970458666818,0.006936680569684656,0.007089836566508949,0.006887440190614533,0.006719710856087631
MLP,600,123,0.51716685,1,1.0,True,0.010655190585496627,0.008784449913410026,0.007345232251778837,0.006561983929508044,0.006063275669497161,0.006708920611794447,0.00673704580602757,0.0064307556932238375,0.006343979942650534,0.005876887334756846
MLP,600,123,0.22896697,0,1.0,False,0.007781642892624055,0.007618706538046153,0.007350826977487291,0.00757704940501332,0.0075750315103884506,0.007620362610373287,0.007014740588359346,0.00731358780944545,0.007139444767664338,0.006581053702756784
MLP,600,123,0.5299392,1,1.0,True,0.006811355361266292,0.008159289908878051,0.00791341479180096,0.007842394169094933,0.007509766060206814,0.007038274868356675,0.006898362363469555,0.007170432719568059,0.007135994808878983,0.0071880963086685375
MLP,600,123,0.6442294,1,1.0,True,0.005512922457851129,0.004200152560600292,0.005090946946421884,0.005122165919379998,0.0057020485793297625,0.005910230024606496,0.005377515315240396,0.0057215364825169415,0.005860561543848635,0.005967868163741293
MLP,600,123,0.7887611,1,1.0,True,0.009819868944473413,0.00816815012863142,0.007498514745471915,0.0070783198165209225,0.007455843674378691,0.007648490037252552,0.007455797461826177,0.007276262675444502,0.007387940483455041,0.007430443483046621
MLP,600,123,0.52794516,1,1.0,True,0.006754751181187539,0.005855424924867292,0.006831243875023696,0.00660041560051955,0.007352778612746005,0.007177268151247813,0.007287542457985918,0.007273272754994981,0.0070804875282028815,0.006915427533917104
MLP,600,123,0.83083266,1,1.0,True,0.00714519288361234,0.007649525935845044,0.00790769045424553,0.008061238519788858,0.007546514599024144,0.007181606573991747,0.007030106434951874,0.007255719683166497,0.007162068698039859,0.006712564966809112
MLP,600,123,0.3171952,0,1.0,False,0.008076967392763012,0.006688881428670221,0.005918015449168975,0.006134453994152715,0.005444766413086466,0.006195773023007689,0.0066681992840464865,0.006671344111563896,0.006656852384671918,0.006750297041385432
MLP,600,123,0.7336826,1,1.0,True,0.009257554204266041,0.007230118992148694,0.008480583719814094,0.008167368314519757,0.008705664860282155,0.008562486356310824,0.008369252590525058,0.008255286368649061,0.007972680222499133,0.00793412094268002
MLP,600,123,0.2639633,0,1.0,False,0.006231197338757587,0.007230451240309976,0.0076648749255329674,0.00772796361215446,0.007431301124721631,0.006955826339751466,0.0066693320204817145,0.00692008016884223,0.006977944611223485,0.006821376743548899
MLP,600,123,0.40675145,0,1.0,False,0.008651629668807356,0.007547686128562329,0.0073190077291157086,0.006001173872448309,0.005439000247244876,0.005558777107545556,0.005863968404724767,0.005802609028055405,0.006248294532371589,0.0066496378495398785
MLP,600,123,0.42585155,0,1.0,False,0.007433470366621045,0.005652472327000767,0.004332678362922366,0.004638641713798665,0.005060977066854763,0.005456033992109171,0.005555349857110803,0.006002697247528854,0.0057000602621968275,0.005372045354279625
MLP,600,123,0.36029938,0,1.0,False,0.010480049829306774,0.010196761304373391,0.010511557573276658,0.00965129604650662,0.009916138641594087,0.009604755469943226,0.009436012504303417,0.009078028333278103,0.009181649734742099,0.008758106883173475
MLP,600,123,0.20047767,0,1.0,False,0.00473204392457386,0.006683038931160218,0.007241886836802973,0.007400795575091004,0.007450587780399047,0.007833425654603309,0.007809690475283184,0.007558525510377003,0.0074987961868725845,0.007175274064871524
MLP,600,123,0.18447876,0,1.0,False,0.010155019397776695,0.00742622415710759,0.006623342712584162,0.007222659018865666,0.007387596969532767,0.007972018473223149,0.007256682635823977,0.007080413000029953,0.006794986936934239,0.0065819938569561046
MLP,600,123,0.39769548,0,1.0,False,0.006798517331582307,0.004960640276386311,0.006371343901188555,0.005363606180195347,0.005856353750001896,0.005885225551688241,0.006310682706936618,0.00671910949282453,0.006135330751693665,0.006605497746450188
MLP,600,123,0.7652752,1,1.0,True,0.008625288877269117,0.0067862216008488544,0.006092390171522108,0.00687856712061393,0.007052993792587909,0.006408669842643767,0.0067641493634264865,0.007453164691826891,0.006946216295819357,0.007036792799616585
MLP,600,123,0.66681683,1,1.0,True,0.008842392115438713,0.007234657407616161,0.007697772154127734,0.007559152552013573,0.007699461951673735,0.007872617534163358,0.008049536083494147,0.008051898663790883,0.008098187504436093,0.008177015690859619
MLP,600,123,0.35760328,0,1.0,False,0.00568793186924797,0.007784176345133238,0.008263804194654932,0.007627495256695311,0.007634196121636921,0.007439562963574235,0.007044663871149776,0.00720293477652705,0.007105415602247511,0.007708092373827374
MLP,600,123,0.89229244,1,1.0,True,0.007857245314136571,0.00882729373149319,0.00828837400626436,0.00888385740373912,0.008582559433606281,0.008293433865005818,0.007827268667224312,0.008060167696136605,0.007543452478695027,0.007571902858372433
MLP,600,123,0.30489832,0,1.0,False,0.003564312871696928,0.006494352648592396,0.006716280166405404,0.0062891126006177,0.006541539192207363,0.00654154671474463,0.006817973900746464,0.006570913541828766,0.007132232222143499,0.007009657482984352
MLP,600,123,0.5569777,1,1.0,True,0.0064147955340523284,0.006494893965521379,0.006501164082577253,0.006172000416113776,0.006280083170129798,0.006427693696099517,0.006230565626265967,0.0065188616803345195,0.006102412485469364,0.006342610199759337
MLP,600,123,0.32908708,0,1.0,False,0.009844388620956237,0.008279363217608865,0.008764916615316413,0.007631045406226251,0.006886215481342415,0.0067223803991619735,0.006780985020547541,0.006722744397889008,0.006747754965267359,0.006869894693165693
MLP,600,123,0.41844904,0,1.0,False,0.007083190999549546,0.008573461972682977,0.007947843897458493,0.007795470093692616,0.007214074432736325,0.007739675967651325,0.00784835866950494,0.008110079279487216,0.008359055309382324,0.008293630113125913
MLP,600,123,0.40455255,0,1.0,False,0.009531704595318964,0.008525926035198436,0.007397729367824616,0.006997577745796559,0.0076550606000112325,0.007115577313814681,0.007251436909673086,0.007506870543582449,0.0079643581518074,0.007840028395541293
MLP,600,123,0.46524462,0,1.0,False,0.0036389266202395388,0.005697117519746172,0.005549574658398649,0.00516138483272844,0.005073827374724025,0.00543217113716724,0.005283991764995116,0.005690850366528366,0.005970939793783167,0.006068000603878604
MLP,600,123,0.42544162,0,1.0,False,0.010511336335454785,0.007724346372885347,0.0073295624752687406,0.006996885121654338,0.006879620551091394,0.0063840247070178725,0.007116742398389488,0.007240505012304057,0.007202592628127304,0.007338277177044576
MLP,600,123,0.45400822,0,1.0,False,0.008505922330014858,0.008967042209555449,0.009663020157167993,0.009420036181913283,0.009680335046635704,0.008924582776839747,0.009335991583945765,0.009320912928568762,0.008978508883408365,0.008710153251214534
MLP,600,123,0.29885554,0,1.0,False,0.0072307946495290066,0.007972346000328862,0.0072063681282881166,0.006365413667509062,0.006466345173228881,0.006366934820510971,0.0063859828880385066,0.006694119276415241,0.006316752281824386,0.006246458877668943
MLP,600,123,0.63445425,1,1.0,True,0.006276599411463564,0.006870095320012877,0.007312495764284233,0.007807651176699418,0.007786593694772322,0.007795586221107983,0.008046822926946832,0.008148962129646579,0.008099811375992711,0.008071149646315357
MLP,600,123,0.4255296,0,1.0,False,0.009103720093945264,0.0076606541175610774,0.0069027993612011665,0.006567928721390402,0.006988777909181613,0.006627260693841857,0.0068840012435877635,0.00761496050160065,0.007490515804070922,0.007464417589103504
MLP,600,123,0.16689098,0,1.0,False,0.01028826242046154,0.007177691469602939,0.007046003693539725,0.006819625054781346,0.006583154985055422,0.006971007738371558,0.006818768736751419,0.006598824286757952,0.007333726451722333,0.007212887175820389
MLP,600,123,0.3198179,0,1.0,False,0.005535559489248189,0.0071417447192458966,0.00769089778639158,0.006740525538651554,0.006058890897365314,0.005811020163090417,0.006146670393234292,0.006414186198013999,0.006571588132488166,0.006887293072230168
MLP,600,123,0.825653,1,1.0,True,0.0079954243005095,0.008065754378462785,0.007675678934350944,0.007292213905176553,0.007650522325146638,0.007601564995172426,0.007478988096600186,0.007414505800650323,0.007339589122042995,0.007463736172978851
MLP,600,123,0.49927187,0,1.0,False,0.007129346178981003,0.005612454484139072,0.0055843553636108845,0.006804211859807674,0.0066218796274578025,0.007064738409392986,0.006744596872559006,0.006722501985955294,0.00692759426199212,0.007189402608840038
MLP,600,123,0.6939378,1,1.0,True,0.005095891826916194,0.006082965608568268,0.0064549219176613165,0.00676098087125254,0.005990228404770188,0.006655389932497579,0.006732650511866665,0.006563320372334024,0.007021493549205295,0.007000712193447231
MLP,600,123,0.26015547,0,1.0,False,0.010202545928197212,0.010591657309763802,0.00943322446311718,0.009560966075085392,0.00862571782902235,0.008743406788214187,0.00815541917040771,0.007823333462911303,0.007812034652817517,0.007654058624545246
MLP,600,123,0.4425741,0,1.0,False,0.0028428321366303234,0.00467207713103981,0.005944976766587599,0.006036893793931158,0.005111436347862961,0.00549236597022093,0.005533692439004938,0.005305628562157522,0.005610130051764029,0.005982364714649964
MLP,600,123,0.50977653,1,1.0,True,0.0054688315729922365,0.007584310004291014,0.007653824098876264,0.007015453235808973,0.007039535741680127,0.006591949068712074,0.006838179428768744,0.007338789543678691,0.007481853585468884,0.00742560621927941
MLP,600,123,0.24454445,0,1.0,False,0.008216242145855366,0.007529860519648624,0.007688927776620681,0.007955895194921101,0.008296733030044624,0.008107409027161673,0.007803024684948453,0.007675443886637742,0.007722211119382237,0.0072170638940521345
MLP,600,123,0.51825655,1,1.0,True,0.008957383444372927,0.007461259985312624,0.0075549037529531494,0.009036039535135007,0.009029235956356622,0.00835571251614807,0.008170584481840097,0.008048636520248342,0.008056625397904972,0.0081277773760537
MLP,600,123,0.68424475,1,1.0,True,0.010179052872424151,0.00881483476611528,0.009068501505657252,0.008184041953712876,0.00759927923711252,0.007604788514224407,0.007386756384561959,0.007078146158475823,0.00660869333673664,0.006414137654925861
MLP,600,123,0.5383406,1,1.0,True,0.0045287173289194314,0.00472732564303903,0.004705169415622866,0.004316565815521213,0.004719740668825189,0.005264126018767776,0.005875340017005733,0.006106272244721863,0.0063208912709377535,0.006363331437723402
MLP,600,123,0.54236203,1,1.0,True,0.009207663988035615,0.010184491817272498,0.009005625284235107,0.007975383195016693,0.007608899846236591,0.0072395025146318424,0.007319713196259153,0.007196855636591159,0.006900756347366844,0.0071905907947654255
MLP,600,123,0.52677053,1,1.0,True,0.010015891226558304,0.008389498009755369,0.006877580314346083,0.007304570546903449,0.006886871664843712,0.006463675361015975,0.006910302141213167,0.006999562774367101,0.006635305265944267,0.006845228715558336
MLP,600,123,0.2737606,0,1.0,False,0.007184140075702137,0.007758198154887278,0.007047488438269987,0.007245408251837143,0.0075130813665877615,0.007242230946909348,0.007082941031038786,0.007214558527973912,0.006890188911381681,0.007078853471059075
MLP,600,123,0.39344025,0,1.0,False,0.010588383874002094,0.008993320663012458,0.009606630231932986,0.008917771742544277,0.008526888317058397,0.00820309141588712,0.007983799509566784,0.00844899998407936,0.008001940184113219,0.007526187200267008
MLP,600,123,0.30925897,0,1.0,False,0.003408142046460924,0.006365784727540685,0.0065209176003345444,0.006926206710328696,0.00717309516133483,0.006686200874402364,0.006306662162405498,0.005971872020639317,0.006275372872165332,0.0066271643294797886
MLP,600,123,0.30870837,0,1.0,False,0.0045949856518166955,0.00870096641671582,0.007672514793973267,0.008096560659807782,0.008214658171832678,0.007618609984215073,0.007338643140632763,0.007190753358479372,0.006639336310137375,0.006577649909152947
MLP,600,123,0.33514145,0,1.0,False,0.0028485806632857456,0.007186904283050996,0.007173577491772563,0.006854795849518601,0.007037339390004501,0.006702999428632255,0.006766602081885505,0.007255187745737341,0.007020939669202235,0.006883171913128183
MLP,600,123,0.7281493,1,1.0,True,0.0032014113812666835,0.005872340788944385,0.007310064216427639,0.007997688226871351,0.007934630856004064,0.00787497290431252,0.007239579728324409,0.007496243193677227,0.007650012319308295,0.007278330662115671
MLP,600,123,0.35810933,0,1.0,False,0.00954988659706523,0.006862565958664151,0.007409464000129901,0.007651649058704549,0.007134191253636941,0.0070428940511699,0.007340494466630022,0.0070113397092575365,0.007051792066391085,0.007471780731345569
